,Trial_ID,cluster,Rat_ID,Amplitude,Frequency_Hz,Pulse_Width(us),post_stim,pre_stim,percent_change,Trial_Cluster
117,DW322_VF_6_240918_150811,25.0,DW322,51,20,300,2.6739540693488862e-05,2.3229007162319858e-05,15.112714489422935,DW322_VF_6_240918_150811_25.0
118,DW322_VF_6_240918_150811,26.0,DW322,51,20,300,9.279348059433436e-06,1.2407332466232714e-05,-25.21077286606345,DW322_VF_6_240918_150811_26.0
119,DW322_VF_6_240918_150811,27.0,DW322,51,20,300,2.855828339310348e-05,2.710138187692234e-05,5.375746236105159,DW322_VF_6_240918_150811_27.0
120,DW322_VF_6_240918_150811,29.0,DW322,51,20,300,9.926305086562367e-05,9.03237637325422e-05,9.8969382626167,DW322_VF_6_240918_150811_29.0
121,DW322_VF_6_240918_150811,30.0,DW322,51,20,300,2.2355079624712743e-05,3.5265295323662486e-05,-36.60884044911764,DW322_VF_6_240918_150811_30.0
122,DW322_VF_7_240918_151516,2.0,DW322,51,5,300,4.751891832803589e-05,3.90064462355926e-05,21.82324439665522,DW322_VF_7_240918_151516_2.0
123,DW322_VF_7_240918_151516,4.0,DW322,51,5,300,3.702224453107228e-05,2.988725808634372e-05,23.873004422539278,DW322_VF_7_240918_151516_4.0
124,DW322_VF_7_240918_151516,5.0,DW322,51,5,300,8.570926040326512e-05,7.154717512821618e-05,19.794052315370603,DW322_VF_7_240918_151516_5.0
125,DW322_VF_7_240918_151516,6.0,DW322,51,5,300,6.1019126598278044e-05,7.614892244310717e-05,-19.86869329127144,DW322_VF_7_240918_151516_6.0
126,DW322_VF_7_240918_151516,8.0,DW322,51,5,300,8.422519789237103e-05,8.384239156684652e-05,0.45657849015351776,DW322_VF_7_240918_151516_8.0
127,DW322_VF_7_240918_151516,10.0,DW322,51,5,300,3.0136478058373477e-05,4.790654471650545e-05,-37.09319209575466,DW322_VF_7_240918_151516_10.0
128,DW322_VF_7_240918_151516,11.0,DW322,51,5,300,1.9609594364327613e-05,6.173628211825422e-05,-68.23651556022445,DW322_VF_7_240918_151516_11.0
129,DW322_VF_7_240918_151516,12.0,DW322,51,5,300,7.51934882249656e-05,5.0829987089991305e-05,47.931354166665926,DW322_VF_7_240918_151516_12.0
130,DW322_VF_7_240918_151516,20.0,DW322,51,5,300,3.419126590471798e-05,4.794582889044647e-05,-28.6877154989997,DW322_VF_7_240918_151516_20.0
131,DW322_VF_7_240918_151516,21.0,DW322,51,5,300,3.909660134420192e-05,4.768782563754143e-05,-18.015550464888914,DW322_VF_7_240918_151516_21.0
132,DW322_VF_7_240918_151516,22.0,DW322,51,5,300,3.114678576195847e-05,3.769367676946565e-05,-17.36867180017469,DW322_VF_7_240918_151516_22.0
133,DW322_VF_7_240918_151516,23.0,DW322,51,5,300,1.5964346874019713e-05,1.3950689668205767e-05,14.434105077995955,DW322_VF_7_240918_151516_23.0
134,DW322_VF_7_240918_151516,26.0,DW322,51,5,300,2.0389915934274316e-06,5.1158207175853066e-05,-96.01434118592441,DW322_VF_7_240918_151516_26.0
135,DW322_VF_7_240918_151516,27.0,DW322,51,5,300,4.449132848451616e-05,7.661663583758607e-05,-41.92993728042297,DW322_VF_7_240918_151516_27.0
136,DW322_VF_7_240918_151516,29.0,DW322,51,5,300,7.651209034021308e-05,5.755975839038189e-05,32.92635771903811,DW322_VF_7_240918_151516_29.0
137,DW322_VF_7_240918_151516,30.0,DW322,51,5,300,7.744778974107033e-06,2.2352884716322086e-05,-65.35221707446202,DW322_VF_7_240918_151516_30.0
138,DW322_VF_7_240918_151516,32.0,DW322,51,5,300,3.135685539165672e-05,6.534547102608667e-05,-52.01372811416617,DW322_VF_7_240918_151516_32.0
139,DW322_VF_7_240918_151516,33.0,DW322,51,5,300,1.049767325699816e-05,1.2583039847194305e-05,-16.57283625833171,DW322_VF_7_240918_151516_33.0
140,DW322_VF_8_240918_152056,4.0,DW322,51,100,300,4.6829855927998943e-05,3.0905197984698205e-05,51.52744192477059,DW322_VF_8_240918_152056_4.0
141,DW322_VF_8_240918_152056,5.0,DW322,51,100,300,3.8111848508842935e-05,3.074599130638824e-05,23.957130310266688,DW322_VF_8_240918_152056_5.0
142,DW322_VF_8_240918_152056,10.0,DW322,51,100,300,7.326619342103624e-05,6.560147696180025e-05,11.683755936926774,DW322_VF_8_240918_152056_10.0
143,DW322_VF_8_240918_152056,13.0,DW322,51,100,300,4.825226427836204e-05,3.897020608068743e-05,23.81834516978483,DW322_VF_8_240918_152056_13.0
144,DW322_VF_8_240918_152056,14.0,DW322,51,100,300,4.000561894762084e-05,4.718510566497085e-05,-15.215578340179281,DW322_VF_8_240918_152056_14.0
145,DW322_VF_8_240918_152056,16.0,DW322,51,100,300,3.3489026003884e-05,3.70712002878864e-05,-9.662957379809821,DW322_VF_8_240918_152056_16.0
